nombre,url,posicion,pais,altura,peso,equipo,aerial_duels_lost,through_balls,total_clearances,ground_duels,overruns,aerial_duels_won,substitute_on,unsuccessful_dribbles,penalties_taken,touches,putthrough_blocked_distribution,successful_dribbles,right_foot_goals,goals,recoveries,tackles_won,yellow_cards,successful_short_passes,successful_passes_own_half,left_foot_goals,headed_goals,penalty_goals,penalty_goals_conceded,goal_assists,total_fouls_won,putthrough_blocked_distribution_won,offsides,total_shots,hit_woodwork,games_played,total_successful_passes_excl_crosses_corners,rightside_passes,time_played,goals_conceded,tackles_lost,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_layoffs,foul_attempted_tackle,open_play_passes,total_tackles,ground_duels_won,successful_passes_opposition_half,corners_won,times_tackled,unsuccessful_passes_own_half,goals_conceded_inside_box,handballs_conceded,successful_open_play_passes,total_losses_of_possession,forward_passes,shots_on_target_inc_goals,successful_layoffs,attempts_from_set_pieces,clean_sheets,appearances,unsuccessful_crosses_corners,unsuccessful_passes_opposition_half,unsuccessful_short_passes,blocked_shots,total_fouls_conceded,duels_won,aerial_duels,duels,total_passes,shots_off_target_inc_woodwork,duels_lost,blocks,key_passes_attempt_assists,successful_long_passes,goals_conceded_outside_box,backward_passes,assists_intentional,leftside_passes,starts,total_touches_in_opposition_box,substitute_off,ground_duels_lost,unsuccessful_crosses_open_play,goals_from_inside_box,goals_from_outside_box,index,home_goals,away_goals,winning_goal,team_games_played,foul_won_penalty,successful_crosses_open_play,successful_crosses_corners,throw_ins_to_own_player,unsuccessful_long_passes,clearances_off_the_line,interceptions,total_red_cards,unsuccessful_launches,straight_red_cards,corners_taken_incl_short_corners,unsuccessful_corners_into_box,set_pieces_goals,other_goals,successful_corners_into_box,second_goal_assists,successful_launches,red_cards_2nd_yellow,penalties_conceded,throw_ins_to_opposition_player,own_goal_scored,penalties_off_target,last_player_tackle,gk_successful_distribution,goal_kicks,gk_unsuccessful_distribution,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made,saves_from_penalty,saves_made_caught,drops,penalties_saved,goalkeeper_smother,punches,saves_made_parried,catches,crosses_not_claimed
ÁLVARO ODRIOZOLA,https://www.laliga.com//es-GB/jugador/odriozola,Defensa,ES,176,66,Real Sociedad,8.0,,6.0,30.0,2.0,1.0,3.0,5.0,,303.0,8.0,2.0,,,13.0,7.0,,163.0,99.0,,,,1.0,,4.0,1.0,1.0,,,9.0,167.0,10.0,397.0,2.0,2.0,21.0,,2.0,186.0,9.0,15.0,72.0,2.0,9.0,9.0,2.0,1.0,165.0,49.0,69.0,,,,,9.0,6.0,18.0,15.0,,7.0,16.0,9.0,39.0,188.0,,23.0,1.0,2.0,4.0,,41.0,,68.0,6.0,7.0,6.0,15.0,6.0,,,10.0,,,,38,,4.0,4.0,41.0,6.0,,8.0,,4.0,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,
JASTIN GARCÍA,https://www.laliga.com//es-GB/jugador/jastin-garcia,Delantero,ES,180,null,Girona FC,,,,5.0,,,3.0,1.0,,20.0,1.0,1.0,,,1.0,,,7.0,,,,,1.0,,2.0,,,,,3.0,7.0,1.0,31.0,1.0,1.0,3.0,,,10.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,,7.0,8.0,1.0,,,,,3.0,1.0,3.0,3.0,,,4.0,,5.0,10.0,,1.0,,,,,2.0,,6.0,,2.0,,1.0,1.0,,,10.0,,,0.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHON WEISSMAN,https://www.laliga.com//es-GB/jugador/weissman,Delantero,IL,174,72,US Salernitana 1919,15.0,,4.0,27.0,,6.0,6.0,1.0,,129.0,2.0,,,1.0,13.0,3.0,,44.0,19.0,,1.0,,1.0,,10.0,1.0,,5.0,,11.0,48.0,21.0,493.0,14.0,1.0,18.0,,1.0,62.0,4.0,14.0,29.0,,6.0,6.0,12.0,,44.0,34.0,13.0,1.0,2.0,,,11.0,,12.0,17.0,1.0,3.0,20.0,21.0,48.0,66.0,4.0,28.0,1.0,2.0,4.0,2.0,17.0,,15.0,5.0,10.0,5.0,13.0,,1.0,,26.0,1.0,0.0,0.0,38,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAÚL TORRENTE,https://www.laliga.com//es-GB/jugador/raul-torrente,Defensa,ES,193,79,Granada CF,15.0,,65.0,62.0,,22.0,3.0,1.0,,930.0,8.0,,,,56.0,16.0,4.0,546.0,480.0,,,,3.0,,8.0,6.0,1.0,3.0,,17.0,603.0,266.0,1252.0,28.0,13.0,156.0,,10.0,736.0,29.0,37.0,123.0,,2.0,45.0,26.0,,585.0,162.0,302.0,,,,,17.0,2.0,113.0,47.0,,18.0,59.0,37.0,99.0,759.0,3.0,40.0,10.0,3.0,57.0,2.0,33.0,,158.0,14.0,9.0,4.0,25.0,2.0,,,60.0,,,0.0,38,,,,2.0,109.0,,11.0,,60.0,,,,,,,,22.0,,1.0,,1.0,,1.0,4.0,4.0,,,,,,,,,,,,,,
TOMÁS MENDES,https://www.laliga.com//es-GB/jugador/tomas-mendes,Centrocampista,ES,179,null,Deportivo Alavés,,,,1.0,,,1.0,,,8.0,,,,,2.0,,,4.0,3.0,,,,,,,,,,,1.0,4.0,2.0,5.0,,,2.0,,,6.0,,,1.0,,1.0,2.0,,,4.0,3.0,1.0,,,,,1.0,,,2.0,,,,,1.0,6.0,,1.0,,,,,1.0,,2.0,,,,1.0,,,,10.0,,,0.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNAI ROPERO,https://www.laliga.com//es-GB/jugador/unai-ropero,Delantero,ES,187,72,Deportivo Alavés,,,,3.0,,,1.0,2.0,,7.0,,,,,,,,4.0,1.0,,,,,,,,,,,1.0,4.0,1.0,5.0,,,,,,3.0,,,3.0,,2.0,,,,3.0,3.0,1.0,,,,,1.0,,,,,1.0,,,3.0,4.0,,3.0,,,,,1.0,,1.0,,1.0,,3.0,,,,1.0,,,0.0,38,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCIANO SANCA TCHAMI,https://www.laliga.com//es-GB/jugador/marciano-sanca,Delantero,GW,185,77,AD Alcorcón,21.0,,7.0,40.0,3.0,13.0,7.0,7.0,,155.0,6.0,5.0,,,13.0,4.0,,45.0,16.0,,,,1.0,,3.0,4.0,1.0,7.0,,11.0,46.0,19.0,326.0,3.0,3.0,22.0,2.0,9.0,67.0,7.0,15.0,30.0,1.0,12.0,3.0,2.0,1.0,45.0,58.0,19.0,1.0,4.0,,,11.0,3.0,22.0,22.0,1.0,11.0,28.0,34.0,74.0,68.0,6.0,46.0,,2.0,1.0,1.0,15.0,,15.0,4.0,10.0,4.0,25.0,3.0,,,10.0,,,0.0,41,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CLAUDIO BRAVO,https://www.laliga.com//es-GB/jugador/c-bravo,Portero,CL,184,80,Real Betis,,1.0,8.0,1.0,,3.0,,,,261.0,,,,,53.0,,,112.0,135.0,,,,,,1.0,,,,,7.0,156.0,37.0,630.0,5.0,,43.0,,,116.0,,,21.0,,,2.0,5.0,,99.0,44.0,91.0,,,,2.0,7.0,,41.0,,,,3.0,3.0,4.0,199.0,,1.0,,1.0,44.0,,,,71.0,7.0,,,1.0,,,,70.0,,,0.0,38,,,,,43.0,,,,7.0,,,,,,,,2.0,,,,,,,76.0,60.0,14.0,9.0,7.0,,16.0,,1.0,,,1.0,6.0,5.0,4.0,
FERLAND MENDY,https://www.laliga.com//es-GB/jugador/f-mendy,Defensa,FR,180,73,Real Madrid,5.0,,18.0,90.0,,6.0,2.0,13.0,,1454.0,18.0,13.0,,,97.0,10.0,5.0,1044.0,507.0,,,,,,15.0,10.0,,3.0,,23.0,1068.0,489.0,1725.0,9.0,5.0,66.0,,12.0,1122.0,15.0,43.0,563.0,1.0,27.0,27.0,7.0,,1057.0,121.0,355.0,2.0,1.0,,10.0,23.0,3.0,42.0,55.0,2.0,17.0,49.0,11.0,101.0,1134.0,1.0,52.0,2.0,11.0,24.0,2.0,234.0,,56.0,21.0,18.0,9.0,47.0,3.0,,,73.0,,,0.0,38,,2.0,2.0,131.0,11.0,,13.0,,6.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
JON MAGUNAZELAIA,https://www.laliga.com//es-GB/jugador/jon-magunacelaya,Centrocampista,ES,180,75,Real Sociedad,4.0,,1.0,20.0,,1.0,4.0,2.0,,76.0,6.0,2.0,,,7.0,3.0,,30.0,9.0,,,,,,3.0,3.0,,3.0,,5.0,30.0,12.0,118.0,,2.0,12.0,1.0,2.0,42.0,5.0,10.0,21.0,,4.0,1.0,,,30.0,22.0,10.0,,1.0,,,5.0,3.0,14.0,12.0,1.0,2.0,11.0,5.0,25.0,42.0,3.0,14.0,,1.0,,,14.0,,6.0,1.0,7.0,1.0,10.0,3.0,,,19.0,,,0.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTOR CHUST,https://www.laliga.com//es-GB/jugador/chust,Defensa,ES,182,77,Cádiz CF,25.0,,90.0,65.0,,26.0,,1.0,,1239.0,18.0,1.0,,,83.0,18.0,3.0,738.0,534.0,,,,1.0,1.0,4.0,6.0,,3.0,,22.0,828.0,263.0,1870.0,23.0,11.0,199.0,,12.0,992.0,29.0,34.0,294.0,3.0,2.0,65.0,22.0,,798.0,218.0,472.0,,,,7.0,22.0,2.0,136.0,74.0,1.0,15.0,60.0,51.0,116.0,1027.0,3.0,56.0,21.0,5.0,90.0,1.0,59.0,1.0,233.0,22.0,13.0,3.0,31.0,2.0,,,48.0,,,0.0,38,,,,3.0,125.0,1.0,11.0,2.0,78.0,2.0,,,,,,,25.0,,,,,,2.0,5.0,5.0,,,,,,,,,,,,,,
ROMINIGUE KOUAMÉ,https://www.laliga.com//es-GB/jugador/rominigue-kouame,Centrocampista,ML,177,68,Cádiz CF,13.0,,10.0,51.0,1.0,19.0,7.0,1.0,,521.0,12.0,7.0,,,60.0,9.0,2.0,332.0,175.0,,,,,,9.0,8.0,1.0,3.0,,16.0,354.0,107.0,820.0,13.0,5.0,56.0,,7.0,407.0,14.0,30.0,180.0,1.0,2.0,26.0,13.0,,351.0,67.0,94.0,,2.0,,,16.0,,30.0,48.0,2.0,11.0,49.0,32.0,83.0,410.0,3.0,34.0,2.0,4.0,22.0,,70.0,,139.0,9.0,2.0,6.0,21.0,,,,21.0,,,0.0,38,,1.0,1.0,,8.0,,13.0,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ALBERTO FLORES,https://www.laliga.com//es-GB/jugador/alberto-flores,Portero,ES,186,null,Sevilla FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHN PATRICK,https://www.laliga.com//es-GB/jugador/j-patrick,Centrocampista,IE,192,null,Getafe CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICARDO VISUS,https://www.laliga.com//es-GB/jugador/ricardo-visus,Defensa,ES,192,null,Real Betis,5.0,,9.0,6.0,,2.0,2.0,,,82.0,,,,,3.0,2.0,,46.0,38.0,,,,,,1.0,,,,,3.0,50.0,18.0,165.0,,,11.0,,3.0,57.0,2.0,3.0,12.0,,,4.0,,,46.0,11.0,23.0,,,,1.0,3.0,,7.0,2.0,,3.0,5.0,7.0,13.0,61.0,,8.0,2.0,,4.0,,7.0,,13.0,1.0,,,3.0,,,,10.0,,,0.0,38,,,,,9.0,,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALIM EL JEBARI,https://www.laliga.com//es-GB/jugador/salim-el-jebari,Delantero,MA,178,null,Atlético de Madrid,2.0,,1.0,3.0,,,1.0,,,10.0,,,,,,,,3.0,,,,,,,,,,,,1.0,3.0,1.0,12.0,,1.0,,,,3.0,1.0,1.0,3.0,,1.0,,,,3.0,3.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,2.0,5.0,3.0,,4.0,,,,,2.0,,,,,,2.0,1.0,,,10.0,,,0.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCO MORENO,https://www.laliga.com//es-GB/jugador/marco-moreno,Defensa,ES,192,78,Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AITOR GISMERA,https://www.laliga.com//es-GB/jugador/aitor-gismera,Centrocampista,ES,182,76,Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIÁN NIÑO,https://www.laliga.com//es-GB/jugador/adrian-nino,Delantero,ES,175,null,Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGUEL MARTÍN GARCÍA,https://www.laliga.com//es-GB/jugador/miguelito,Defensa,ES,null,null,RCD Mallorca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁLVARO CARRILLO,https://www.laliga.com//es-GB/jugador/alvaro-carrillo,Defensa,ES,182,72,Real Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORJA GARCÍA,https://www.laliga.com//es-GB/jugador/borja-garcia,Centrocampista,ES,175,72,Girona FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACO SANZ,https://www.laliga.com//es-GB/jugador/paco-sanz,Defensa,ES,188,null,UD Almería,,,4.0,1.0,,1.0,1.0,,,15.0,,,,,,,,6.0,5.0,,,,,,,,,,,1.0,7.0,1.0,23.0,,,3.0,,,10.0,,,2.0,,,2.0,,,7.0,4.0,5.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,10.0,,1.0,,,1.0,,2.0,,2.0,,,,1.0,,,,10.0,,,0.0,38,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
RÚBEN MONTERO,https://www.laliga.com//es-GB/jugador/ruben-montero,Portero,ES,183,null,Deportivo Alavés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARKO BRASANAC,https://www.laliga.com//es-GB/jugador/darko,Centrocampista,RS,178,73,CD Leganés,18.0,,6.0,39.0,,8.0,9.0,2.0,,301.0,8.0,2.0,,,25.0,7.0,3.0,186.0,100.0,,,,3.0,1.0,5.0,4.0,,3.0,,14.0,193.0,68.0,562.0,6.0,4.0,40.0,,6.0,227.0,11.0,18.0,94.0,1.0,5.0,13.0,5.0,,187.0,52.0,77.0,,6.0,,1.0,14.0,1.0,28.0,34.0,1.0,10.0,26.0,26.0,65.0,233.0,3.0,39.0,2.0,3.0,7.0,1.0,48.0,1.0,40.0,5.0,10.0,4.0,21.0,1.0,,,10.0,,,0.0,41,,1.0,1.0,,6.0,,5.0,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
YAREK GASIOROWSKI,https://www.laliga.com//es-GB/jugador/yarek-gasiorowski,Defensa,ES,190,null,Valencia CF,4.0,,45.0,44.0,,15.0,7.0,2.0,,426.0,13.0,1.0,,,15.0,12.0,1.0,165.0,119.0,,,,1.0,,2.0,7.0,,,,14.0,178.0,84.0,732.0,14.0,10.0,60.0,,9.0,229.0,22.0,25.0,60.0,2.0,3.0,19.0,13.0,1.0,171.0,95.0,108.0,,,,1.0,14.0,5.0,46.0,23.0,1.0,11.0,40.0,19.0,63.0,238.0,,23.0,8.0,,13.0,1.0,26.0,,20.0,7.0,6.0,2.0,19.0,5.0,,,100.0,,,0.0,38,,1.0,1.0,29.0,37.0,1.0,15.0,,26.0,,,,,,,,5.0,,,19.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,
MARCOS PEÑA,https://www.laliga.com//es-GB/jugador/marcos-pena,Centrocampista,ES,154,42,UD Almería,4.0,,8.0,41.0,,3.0,3.0,1.0,,291.0,8.0,,,,26.0,14.0,3.0,183.0,129.0,,,,,,4.0,6.0,,4.0,,7.0,188.0,63.0,439.0,7.0,5.0,29.0,,6.0,209.0,19.0,23.0,59.0,,4.0,8.0,7.0,,180.0,36.0,64.0,1.0,7.0,,1.0,7.0,,21.0,25.0,,8.0,26.0,7.0,48.0,217.0,3.0,22.0,3.0,1.0,5.0,,30.0,,60.0,4.0,1.0,1.0,18.0,,,,42.0,,,0.0,38,,,,,4.0,,13.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCOS DO NASCIMENTO TEIXEIRA,https://www.laliga.com//es-GB/jugador/marcao,Defensa,BR,185,80,Sevilla FC,3.0,,11.0,25.0,,6.0,4.0,1.0,,249.0,3.0,1.0,,,18.0,6.0,2.0,171.0,112.0,,,,,,6.0,2.0,,,,7.0,175.0,75.0,354.0,8.0,3.0,20.0,,5.0,190.0,9.0,15.0,63.0,,1.0,6.0,7.0,,171.0,27.0,78.0,,,,,7.0,,14.0,13.0,,5.0,21.0,9.0,34.0,195.0,,13.0,6.0,1.0,4.0,1.0,5.0,,37.0,3.0,1.0,1.0,10.0,,,,100.0,,,0.0,38,,,,1.0,7.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAU VICTOR,https://www.laliga.com//es-GB/jugador/pau-victor,Centrocampista,ES,184,77,FC Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁLVARO KILLANE,https://www.laliga.com//es-GB/jugador/alvaro-killane,Portero,AR,186,null,UD Las Palmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACUNDO ESNÁIDER,https://www.laliga.com//es-GB/jugador/facundo-esnaider-ruiz,Centrocampista,ES,184,null,Getafe CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUZÚN LEY,https://www.laliga.com//es-GB/jugador/yuzun-ley,Defensa,ES,180,75,RCD Mallorca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANGUY NIANZOU,https://www.laliga.com//es-GB/jugador/nianzou-kouassi,Defensa,FR,187,83,Sevilla FC,5.0,,8.0,29.0,,4.0,5.0,,,203.0,3.0,2.0,,,18.0,8.0,3.0,129.0,80.0,,,,,,4.0,2.0,,1.0,,8.0,134.0,25.0,315.0,10.0,4.0,17.0,,6.0,147.0,12.0,18.0,54.0,,2.0,5.0,8.0,,130.0,24.0,45.0,,,,,8.0,,12.0,13.0,,6.0,22.0,9.0,38.0,151.0,1.0,16.0,,,5.0,2.0,15.0,,66.0,3.0,3.0,1.0,11.0,,,,9.0,,,0.0,38,,,,3.0,4.0,,3.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ENEKO ORTIZ,https://www.laliga.com//es-GB/jugador/eneko-ortiz,Defensa,ES,180,75,Deportivo Alavés,,,,,,,1.0,,,4.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,13.0,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,0.0,38,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HÉCTOR FORT,https://www.laliga.com//es-GB/jugador/hector-fort,Defensa,ES,185,78,FC Barcelona,3.0,,2.0,30.0,,,3.0,4.0,,259.0,2.0,3.0,,,16.0,5.0,,173.0,98.0,,,,,2.0,1.0,,1.0,1.0,,7.0,179.0,76.0,320.0,2.0,1.0,24.0,,4.0,197.0,6.0,10.0,82.0,2.0,6.0,9.0,2.0,,173.0,37.0,48.0,,,,,7.0,5.0,20.0,15.0,,8.0,10.0,3.0,33.0,203.0,1.0,23.0,,1.0,6.0,,55.0,2.0,24.0,4.0,3.0,4.0,20.0,5.0,,,1.0,,,0.0,38,,1.0,1.0,20.0,9.0,,2.0,,4.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
ÁLEX MORATA,https://www.laliga.com//es-GB/jugador/alejandro-morata,Defensa,ES,179,75,Cádiz CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDE NJALLA,https://www.laliga.com//es-GB/jugador/aristide-njalla,Centrocampista,CM,174,null,Cádiz CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORGE MARTÍN,https://www.laliga.com//es-GB/jugador/jordi-martin,Defensa,ES,176,62,Getafe CF,21.0,1.0,6.0,74.0,2.0,11.0,8.0,10.0,,359.0,12.0,7.0,,,36.0,11.0,1.0,139.0,43.0,,,,1.0,,6.0,5.0,1.0,5.0,1.0,13.0,143.0,71.0,574.0,7.0,5.0,68.0,1.0,12.0,211.0,16.0,29.0,101.0,2.0,19.0,10.0,6.0,1.0,143.0,125.0,71.0,3.0,9.0,,,13.0,21.0,79.0,51.0,2.0,19.0,40.0,32.0,106.0,211.0,2.0,66.0,2.0,7.0,4.0,1.0,50.0,,19.0,5.0,15.0,5.0,45.0,21.0,,,20.0,,,0.0,38,,1.0,1.0,6.0,17.0,,8.0,,13.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
LUIS MILLA,https://www.laliga.com//es-GB/jugador/l-milla,Centrocampista,ES,175,67,Getafe CF,25.0,1.0,9.0,190.0,2.0,28.0,2.0,17.0,,1567.0,36.0,11.0,,,174.0,33.0,6.0,875.0,355.0,,,,3.0,1.0,29.0,19.0,1.0,14.0,1.0,27.0,976.0,359.0,2123.0,36.0,24.0,184.0,1.0,32.0,1079.0,57.0,97.0,652.0,8.0,34.0,49.0,32.0,3.0,905.0,324.0,338.0,5.0,4.0,1.0,1.0,27.0,71.0,206.0,125.0,2.0,43.0,125.0,53.0,243.0,1160.0,9.0,118.0,1.0,28.0,101.0,4.0,141.0,1.0,322.0,25.0,10.0,9.0,93.0,15.0,,,78.0,,,0.0,38,,6.0,31.0,3.0,59.0,,32.0,,25.0,,65.0,36.0,,,18.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,
SERGIO MESTRE,https://www.laliga.com//es-GB/jugador/sergio-mestre,Portero,ES,193,null,Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JON ARAMBURU,https://www.laliga.com//es-GB/jugador/jon-aramburu,Defensa,VE,174,71,Real Sociedad,7.0,,15.0,62.0,,7.0,6.0,4.0,,415.0,12.0,2.0,,,24.0,15.0,3.0,204.0,98.0,,,,,,5.0,5.0,,2.0,,11.0,211.0,23.0,541.0,8.0,9.0,45.0,,9.0,249.0,24.0,31.0,114.0,3.0,10.0,10.0,8.0,,204.0,83.0,88.0,,,,1.0,11.0,6.0,41.0,34.0,2.0,11.0,38.0,14.0,76.0,256.0,2.0,38.0,3.0,,7.0,,56.0,,89.0,5.0,4.0,3.0,31.0,6.0,,,53.0,,,0.0,38,,1.0,1.0,42.0,11.0,,7.0,,7.0,,,,,,,,1.0,,,13.0,,,1.0,,,,,,,,,,,,,,,,
JAVIER RODRÍGUEZ,https://www.laliga.com//es-GB/jugador/javier-rodriguez-1,Defensa,ES,null,null,RC Celta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGO RINCÓN,https://www.laliga.com//es-GB/jugador/hugo-rincon,Defensa,ES,183,null,Athletic Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORGE PASCUAL,https://www.laliga.com//es-GB/jugador/jorge-pascual-medina,Delantero,ES,null,null,Villarreal B,80.0,6.0,27.0,225.0,4.0,73.0,10.0,30.0,,1064.0,39.0,28.0,1.0,4.0,91.0,6.0,5.0,435.0,196.0,3.0,,,8.0,4.0,55.0,21.0,3.0,40.0,1.0,38.0,460.0,131.0,2436.0,38.0,7.0,147.0,8.0,26.0,572.0,13.0,94.0,266.0,7.0,74.0,36.0,35.0,2.0,425.0,316.0,106.0,13.0,42.0,,1.0,38.0,3.0,114.0,136.0,13.0,49.0,167.0,153.0,378.0,607.0,27.0,211.0,6.0,18.0,25.0,3.0,193.0,3.0,177.0,28.0,82.0,22.0,131.0,3.0,2.0,2.0,10.0,4.0,0.0,1.0,41,1.0,2.0,2.0,1.0,11.0,,3.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
VICTOR WEHBI AZNAR USSEN,https://www.laliga.com//es-GB/jugador/victor-aznar,Portero,BR,189,null,Cádiz CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
